#SampleID	quant_reading	sample_or_control	field	field_coord	coll_coord	cords_note	cul_type	soil_compname	soil_taxclass	soil_taxorder	soil_taxsuborder	soil_taxgrtgroup	soil_taxsubgrp	soil_collected_date	Mean_Day_Air_Temp	pH	Meloidogyne_hapla	Meloidogyne_chitwoodi	Pratylenchus_penetrans	Pratylenchus_neglectus	Pratylenchus_thornei	Paratrichodorus_sp	Tylenchorhynchus_sp	Paratylenchus_sp	Helicotylenchus_sp	Mesocriconema sp	Ditylenchus_sp	Xiphinema_sp	Hemicycliophora_sp	vert_count	bd_count	y1998	y1999	y2000	y2001	y2002	y2003	y2004	y2005	y2006	y2007	y2008	y2009	y2010	y2011	y2012	y2013	y2014	y2015	y2016	y2017	y2018
B750_1	466.666666666667	sample	B750	45.77219,-119.76143	45.784883,-119.763844	error	Conventional	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-6-2018	36.64	7.325	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
B750_2	572.121212121212	sample	B750	45.77219,-119.76143	45.773372,-119.763889		Conventional	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-6-2018	36.64	7.475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
B750_3	512.121212121212	sample	B750	45.77219,-119.76143	45.773483,-119.759289		Conventional	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-6-2018	36.64	6.51	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
B750_4	536.363636363636	sample	B750	45.77219,-119.76143	45.770672,-119.759714		Conventional	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-6-2018	36.64	7.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
WA_1	413.939393939394	sample	WA	47.007591,-119.243164	47.006133,-119.245311		Green	Timmerman	Sandy, mixed, mesic Xeric Haplocambids	Aridisols	Cambids	Haplocambids	Xeric Haplocambids	3-20-2018	43.31	5.745	0	1850	0	0	0	0	8	0	0	0	0	0	0	4	0			POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	MUSTARD	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	MUSTARD	POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	BEAN	MUSTARD
WA_2	533.939393939394	sample	WA	47.007591,-119.243164	47.009003,-119.244847		Green	Timmerman	Sandy, mixed, mesic Xeric Haplocambids	Aridisols	Cambids	Haplocambids	Xeric Haplocambids	3-20-2018	43.31	5.39	64	2600	0	0	0	12	0	0	0	0	0	0	0	5	0			POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	MUSTARD	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	MUSTARD	POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	BEAN	MUSTARD
WA_3	580	sample	WA	47.007591,-119.243164	47.008542,-119.240781		Green	Timmerman	Sandy, mixed, mesic Xeric Haplocambids	Aridisols	Cambids	Haplocambids	Xeric Haplocambids	3-20-2018	43.31	4.915	16	1248	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	MUSTARD	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	MUSTARD	POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	BEAN	MUSTARD
WA_4	447.878787878788	sample	WA	47.007591,-119.243164	47.006308,-119.241875		Green	Timmerman	Sandy, mixed, mesic Xeric Haplocambids	Aridisols	Cambids	Haplocambids	Xeric Haplocambids	3-20-2018	43.31	4.905	48	1080	0	0	0	0	6	0	0	0	0	0	0	1	0			POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	MUSTARD	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	MUSTARD	POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	BEAN	MUSTARD
B213_1	692.121212121212	sample	B213	45.76094,-119.99018	45.759656,-119.992033		Conventional	Taunton	Coarse-loamy, mixed, superactive, mesic Xeric Haplodurids	Aridisols	Durids	Haplodurids	Xeric Haplodurids	2-27-2018	39.02	7.045	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	CORN	POTATO	ALFALFA	ALFALFA	ALFALFA	ALFALFA	CORN	CORN	WHEAT	ALFALFA	ALFALFA	ALFALFA	WHEAT	MINT	MINT	MINT	WHEAT	ALFALFA	ALFALFA	ALFALFA	ALFALFA
B213_2	601.212121212121	sample	B213	45.76094,-119.99018	45.761789,-119.9924		Conventional	Taunton	Coarse-loamy, mixed, superactive, mesic Xeric Haplodurids	Aridisols	Durids	Haplodurids	Xeric Haplodurids	2-27-2018	39.02	7.075	0	0	0	0	0	0	0	0	0	0	12	0	0	5	0	CORN	POTATO	ALFALFA	ALFALFA	ALFALFA	ALFALFA	CORN	CORN	WHEAT	ALFALFA	ALFALFA	ALFALFA	WHEAT	MINT	MINT	MINT	WHEAT	ALFALFA	ALFALFA	ALFALFA	ALFALFA
